priority,app_or_product,category,store_scope,required_fields,why_needed,status
Critical,Simply Piano / Simply Guitar,learning,iOS + Google Play,"downloads,revenue,rank,ratings,review_velocity,country_mix,12m_trend",Direct app-based learning benchmark; current public package lacks hard performance values.,Credentialed Appfigures export required
Critical,Yousician,learning,iOS + Google Play,"downloads,revenue,rank,ratings,review_velocity,country_mix,12m_trend",Internal baseline for relative competitor comparison.,Use internal Appfigures/app-store reporting
Critical,Flowkey,learning,iOS + Google Play,"downloads,revenue,rank,ratings,review_velocity,country_mix,12m_trend",Piano-learning benchmark; public sources do not validate momentum.,Credentialed Appfigures export required
Critical,Skoove,learning,iOS + Google Play,"downloads,revenue,rank,ratings,review_velocity,country_mix,12m_trend",Piano-learning benchmark; needs hard performance.,Credentialed Appfigures export required
High,Fender Play,learning / brand backed,iOS + Google Play,"downloads,revenue,rank,ratings,review_velocity,country_mix,12m_trend",Hardware-brand backed learning app; important bundle benchmark.,Credentialed Appfigures export required
High,Gibson App,learning / brand backed,iOS + Google Play,"downloads,revenue,rank,ratings,review_velocity,country_mix,12m_trend",Hardware-brand backed guitar app; compare with Fender Play.,Credentialed Appfigures export required
High,Guitar Tricks,learning,iOS + Google Play,"downloads,revenue,rank,ratings,review_velocity,country_mix,12m_trend",Structured guitar subscription benchmark.,Credentialed Appfigures export required
High,TrueFire,learning,iOS + Google Play,"downloads,revenue,rank,ratings,review_velocity,country_mix,12m_trend",Advanced guitar/teacher marketplace benchmark.,Credentialed Appfigures export required
High,Pickup Music,learning/community,iOS + Google Play,"downloads,revenue,rank,ratings,review_velocity,country_mix,12m_trend",Modern guitar pathway/community benchmark.,Credentialed Appfigures export required
High,Rocksmith+,game-like learning,iOS + Google Play where applicable,"downloads,revenue,rank,ratings,review_velocity,country_mix,12m_trend",Real-instrument song-led feedback and gaming-style learning.,Credentialed Appfigures export required
High,Moises,practice / AI utility,iOS + Google Play,"downloads,revenue,rank,ratings,review_velocity,country_mix,12m_trend",AI practice utility with company-reported scale and funding.,Credentialed Appfigures export + public company source
High,Chord ai,practice / AI utility,iOS + Google Play,"downloads,revenue,rank,ratings,review_velocity,country_mix,12m_trend",AI chord recognition; owns song-to-practice utility moment.,Credentialed Appfigures export required
Medium,Tomplay,interactive sheet music,iOS + Google Play,"downloads,revenue,rank,ratings,review_velocity,country_mix,12m_trend",Interactive sheet music and backing-track practice.,Credentialed Appfigures export required
Medium,MuseScore,notation / song library,iOS + Google Play,"downloads,revenue,rank,ratings,review_velocity,country_mix,12m_trend",Notation and repertoire ecosystem linked to Muse Group.,Credentialed Appfigures export required
Medium,Songsterr,tabs / practice,iOS + Google Play,"downloads,revenue,rank,ratings,review_velocity,country_mix,12m_trend",Tab/practice app; compares with Ultimate Guitar/Muse Group.,Credentialed Appfigures export required
Medium,Duolingo Music,wider education / music,iOS primarily,"music-course exposure proxy, rankings, engagement if available",Non-music learning company entering music; usage may be embedded in Duolingo app rather than separate app.,Use Duolingo public reporting + app intelligence where possible
