rank,actor_or_cluster,primary_influence_layer,guiding_question_answered,priority_reason,proof_available,what_changed_recently,evidence_confidence,appfigures_required,relationship_required,board_use_status,next_validation_step
1,Suno,AI creation and rights risk,Music as a hobby; strategic environment,"Suno is the clearest signal that music participation can move from learning an instrument to prompting, generating and sharing music, while also triggering rights and licensing risk.","Official Suno funding update on June 3, 2026; AI rights/litigation signals; source confidence should remain visible for claim-by-claim use.","Suno announced more than $400M in Series D funding at a $5.4B post-money valuation on June 3, 2026.",High for funding update; Medium-High overall,No for core AI/rights signal; yes only if app/mobile performance is later used.,Internal relationship status must be completed by Yousician if any partnership / monitoring owner is assumed.,Usable as a strategic signal; do not use as an adoption or revenue ranking without validated metrics.,"Keep litigation and rights status current; do not use adoption, revenue or mobile-performance ranking without validated metrics."
2,Music.AI / Moises,AI practice utility and creator tooling,Music learning; music as a hobby,"Moises connects AI directly to practice utility: stems, isolation, transcription and creator workflow reduce friction between song discovery and playing.",Product and funding/news sources exist; reach and mobile performance require credentialed validation.,AI practice tools are moving toward broader creator platforms rather than only single-purpose utilities.,Medium,"Yes for downloads, revenue, rank trend, review velocity and country mix.",Internal relationship owner/status must be added by Yousician.,Usable as a capability and ecosystem signal; not performance-ranked yet.,Import Appfigures and verify user/reach claims from official or investor-grade sources.
3,Simply / JoyTunes,Direct app-based learning benchmark,Music learning; who is successful,"Simply is the closest mobile learning benchmark for onboarding, motivation, subscription learning and beginner conversion.",Public store and product sources exist; core performance remains blocked without Appfigures.,No performance conclusion should be made until the Appfigures request pack is populated.,Pending,"Critical: revenue, downloads, rank trend, review velocity and country mix.",Internal relationship owner/status must be added by Yousician.,Do not rank as successful by performance until credentialed Appfigures data is imported.,Run credentialed Appfigures export for Simply Piano and Simply Guitar.
4,Ultimate Guitar / Muse Group,Song-practice habit and repertoire ownership,Music learning; music as a hobby,"Ultimate Guitar controls a major song-to-practice surface: tabs, chords, community and repeated practice intent.",Public product/community sources are available; traffic and app performance need validation.,"Song-practice ecosystems remain central because learner demand often starts with a song, not a curriculum.",Medium,Yes for app performance; traffic validation also needed.,Internal relationship owner/status must be added by Yousician.,Usable as a category-influence signal; not yet a quantified scale comparison.,"Validate traffic, app performance and Muse Group ownership/source claims."
5,BandLab,Creation community and hobby expansion,Music as a hobby; strategic environment,"BandLab represents the path where hobbyists create, collaborate and publish rather than only learn or practice.",Public product and company sources support the role; monetization/reach claims require validation.,Creation/community platforms increasingly define what a music hobby feels like after beginner learning.,Medium,Optional for mobile app performance; platform traffic and creator reach validation also needed.,Internal relationship owner/status must be added by Yousician.,Usable as ecosystem position; avoid quantified reach claims unless sourced.,"Validate platform reach, product changes and AI/creator tooling claims."
6,TikTok / YouTube music discovery,"Discovery, demand creation and creator trust",Music as a hobby; music learning,These platforms shape what beginners want to play and which creators they trust before a learning product is considered.,Board timeline contains platform/music discovery moves; creator reach data remains incomplete.,Discovery power remains in short-form and creator platforms even when adjacent music products shift or close.,Medium-High,No for platform influence; platform/creator exports are needed for reach precision.,Internal owner/status needed for any relationship or campaign assumption.,Usable as demand-generation layer; creator reach table still needs social exports.,Complete TikTok/Instagram/YouTube creator reach exports and average-view validation.
7,Fender / Gibson / Yamaha hardware ecosystems,"Instrument access, bundles and branded learning funnels",Music learning; strategic environment,"Hardware brands can turn instrument purchase, setup, app onboarding and lesson subscription into one beginner journey.",Official product and app sources exist; bundle performance and internal relationship status remain open.,Hardware-plus-software bundles and brand-backed apps remain important because the first instrument purchase is a strategic entry point.,Medium,Yes where app-based learning products are compared.,Critical for partnership relevance; must be completed internally.,Usable as ecosystem/partner layer; not as partner pipeline without Yousician input.,Confirm internal relationship owners and Appfigures for Fender Play/Gibson App where relevant.
8,Splice,Paid creator tools and rights-aware workflow,Music as a hobby; strategic environment,"Splice shows that hobby participation can become paid creator workflow, sample access and production learning.",Public product/company sources support the role; detailed performance and AI claims need validation.,Creator tools increasingly matter as learners move from playing songs to making music.,Medium,Not central unless app performance is used; traffic/subscription validation may matter.,Internal relationship status must be completed if partnership relevance is asserted.,Usable as creator-tool context; avoid scale claims without source validation.,Validate current AI/sample/product positioning and creator reach metrics.
9,ABRSM / Trinity / School of Rock education layer,"Trust, curriculum, certification and teacher/parent influence",Music learning; strategic environment,"Education bodies and school networks shape credibility, progression, parent trust and teacher recommendations.",Public organization sources available; relationship potential and regional priority need internal owner input.,This layer is less news-driven but important because it supplies trust and accountability that apps alone may not provide.,Medium,No.,Important if Yousician wants partnership or education-channel prioritization.,Usable as trust/benchmark layer; not as relationship map until internal fields are filled.,"Prioritize by beginner influence, geography and feasible relationship path."
10,Spotify / labels / rights infrastructure,"Rights, artist data, repertoire and AI governance",Music as a hobby; strategic environment,"Rights owners and music platforms set the permission, repertoire and artist-authenticity context for AI, songs and learning content.",Policy/litigation/platform sources exist; licensing relationship assumptions are internal and not made here.,AI rights debates and platform authenticity policies are becoming part of the strategic operating environment.,High for policy/litigation signals; Pending for any private relationship assumption.,No for rights-infrastructure framing.,Critical if licensing or partnership status is discussed.,Usable as external environment signal; do not infer Yousician relationship or licensing status.,Confirm current rights-policy position and internal licensing relationship fields.
