funding_source,geography,funding_type,eligibility,funding_amount_or_range,deadline_or_cadence,matching_requirement,fit_for_yousician,effort_level,owner_placeholder,source_url,source_confidence,last_checked_date,deadline_status,immediate_next_step,decision_needed
Business Finland R&D and piloting,Finland,Grant/loan RDI funding,Finnish companies with R&D/internationalization project plans.,Varies by company size and instrument.,Continuous/open services; Sprint funding is being introduced in 2026 while Tempo is not reopening.,Own funding required; exact share by instrument.,"Strong fit for AI practice, learning R&D or internationalization initiatives; Sprint should be monitored if Yousician has an eligible new innovation path.",Medium,Yousician owner TBD,https://www.businessfinland.fi/en/whats-new/news/2026/what-do-business-finlands-funding-services-look-like-at-the-beginning-of-2026/,High,2026-06-11,Reviewed 2026-06-11 / open funding services,"Screen current Business Finland RDI routes, including the 2026 Sprint pilot context, and decide whether to prepare a Yousician concept note.","Pursue, monitor, partner-led only, or deprioritize."
Business Finland Co-Innovation,Finland,Collaborative RDI funding,Company + research organization consortia.,Project-specific.,Open call status shown in funding listing.,Consortium and own contribution required.,"Possible fit for AI feedback, pedagogy or music-learning research with universities.",High,Yousician owner TBD,https://www.businessfinland.fi/en/services/funding/,High,2026-06-11,Reviewed 2026-06-11 / call listed open,Validate consortium fit with Business Finland funding pages and identify any university/research partner before preparing effort estimates.,"Pursue, monitor, partner-led only, or deprioritize."
EIC Accelerator,EU,Grant and equity,European startups/SMEs with game-changing scalable innovation.,Grant funding plus possible equity; exact cap per call.,"2026 cut-offs include Jan 7, Mar 4, May 6, Jul 8, Sep 2, Nov 3 per public advisory sources.",Strong company commitment and co-financing/equity process.,"Potential fit only for high-risk AI/learning breakthrough, not routine product work.",High,Yousician owner TBD,https://eic.ec.europa.eu/eic-funding-opportunities/eic-accelerator_en,High,2026-06-11,Current validation required,"Assign owner, validate eligibility with funder page, estimate effort, and decide whether to prepare concept note.","Pursue, monitor, partner-led only, or deprioritize."
Horizon Europe Cluster 2,EU,Research and innovation grant,"Consortia around culture, creativity and inclusive society topics.",Topic-specific budgets.,2026-2027 work programme topics; deadlines via Funding & Tenders portal.,Consortium and proposal workload required.,"Possible fit for music education, cultural participation or AI/creative learning research.",High,Yousician owner TBD,https://research-and-innovation.ec.europa.eu/funding/funding-opportunities/funding-programmes-and-open-calls/horizon-europe/cluster-2-culture-creativity-and-inclusive-society_en,High,2026-06-11,Current validation required,"Assign owner, validate eligibility with funder page, estimate effort, and decide whether to prepare concept note.","Pursue, monitor, partner-led only, or deprioritize."
Creative Europe MEDIA - Video Games and Immersive Content,EU,Lump-sum grant,European producers/XR/game companies developing global-audience video games or immersive content.,"Up to EUR 200,000; 60% funding rate shown in public call summaries.","2026 call opened Sep 30, 2025 and closed Feb 11, 2026.",Matching/own budget required; creative-production eligibility must be checked.,Possible fit only for immersive/gamified music-learning products with strong creative content.,High,Yousician owner TBD,https://www.euro-access.eu/en/calls/2391/Video-games-and-immersive-content-development,Medium,2026-06-11,Current validation required,"Assign owner, validate eligibility with funder page, estimate effort, and decide whether to prepare concept note.","Pursue, monitor, partner-led only, or deprioritize."
EIT Culture & Creativity,EU,Innovation and ecosystem funding,European cultural and creative sector consortia/startups depending on call.,Call-specific.,Monitor 2026/2027 calls.,Consortium and co-financing likely.,"Potential fit for music-learning, creativity and cultural participation initiatives.",Medium,Yousician owner TBD,https://eit-culture-creativity.eu/,Medium,2026-06-11,Current validation required,"Assign owner, validate eligibility with funder page, estimate effort, and decide whether to prepare concept note.","Pursue, monitor, partner-led only, or deprioritize."
Erasmus+ Cooperation Partnerships,EU,Education cooperation grant,Education/training organizations and partners; company role requires partner-fit validation.,Typically fixed lump sums by project type.,Annual calls; 2026 deadlines require portal validation.,Consortium and educational impact required.,"Possible fit for schools/teacher partnerships, not core B2C growth.",High,Yousician owner TBD,https://erasmus-plus.ec.europa.eu/opportunities/opportunities-for-organisations/cooperation-among-organisations-and-institutions,High,2026-06-11,Current validation required,"Assign owner, validate eligibility with funder page, estimate effort, and decide whether to prepare concept note.","Pursue, monitor, partner-led only, or deprioritize."
Digital Europe Programme,EU,Digital capacity funding,Organizations delivering digital/AI/data/cyber capacity projects.,Call-specific.,Monitor EU Funding & Tenders calls.,Consortium and policy alignment often required.,"Possible fit for AI trust, skills or digital education initiatives.",High,Yousician owner TBD,https://digital-strategy.ec.europa.eu/en/activities/digital-programme,High,2026-06-11,Current validation required,"Assign owner, validate eligibility with funder page, estimate effort, and decide whether to prepare concept note.","Pursue, monitor, partner-led only, or deprioritize."
Google Play Apps Accelerator,Global / platform,Accelerator / platform support,High-potential app studios selected by Google Play.,Non-dilutive support rather than grant; benefits via mentorship/distribution.,2026 class announced; future cohorts to monitor.,Application/selection required.,"Relevant to Android growth, store optimization and platform relationships.",Medium,Yousician owner TBD,https://developer.android.com/blog/posts/meet-the-class-of-2026-for-the-google-play-apps-accelerator,Medium,2026-06-11,Current validation required,"Assign owner, validate eligibility with funder page, estimate effort, and decide whether to prepare concept note.","Pursue, monitor, partner-led only, or deprioritize."
AWS Activate,Global,Cloud credits and startup support,Startups and eligible companies via AWS Activate; eligibility varies.,Credits vary by tier.,Rolling.,Cloud spend / startup eligibility requirements.,Possible support for AI/audio infrastructure experiments if eligible.,Low,Yousician owner TBD,https://aws.amazon.com/activate/,Medium,2026-06-11,Current validation required,"Assign owner, validate eligibility with funder page, estimate effort, and decide whether to prepare concept note.","Pursue, monitor, partner-led only, or deprioritize."
NVIDIA Inception,Global,Startup program / technical support,AI startups; membership requirements apply.,Benefits/credits/support vary.,Rolling.,No standard grant; partner/program requirements.,Possible fit for AI audio feedback or on-device/audio model work.,Low,Yousician owner TBD,https://www.nvidia.com/en-us/startups/,Medium,2026-06-11,Current validation required,"Assign owner, validate eligibility with funder page, estimate effort, and decide whether to prepare concept note.","Pursue, monitor, partner-led only, or deprioritize."
Finnvera / Tesi growth finance,Finland,Loan/guarantee/equity ecosystem,Finnish companies depending on instrument and growth stage.,Instrument-specific.,Ongoing / instrument-specific.,Financing and due diligence requirements.,"Relevant as context for Finnish growth funding, less direct than Business Finland.",Medium,Yousician owner TBD,https://www.finnvera.fi/eng,Medium,2026-06-11,Current validation required,"Assign owner, validate eligibility with funder page, estimate effort, and decide whether to prepare concept note.","Pursue, monitor, partner-led only, or deprioritize."
